No. Anggota,Daerah pemilihan,Nama,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
129,Jawa Timur IX,"Wihadi Wijanto S.H., M.H.",Komisi XI,Gerindra,Wakil Ketua Badan Anggaran DPR RI,Jawa Timur,Koalisi Pemerintah
227,Jawa Timur IX,"H. Abidin Fikri S.H., M.H.",Komisi VIII,PDI-P,Wakil Ketua Komisi VIII DPR RI,Jawa Timur,Oposisi
332,Jawa Timur IX,Dra. Hj. Haeny Relawati Rini Widyastuti M.Si.,Komisi VIII,Golkar,-,Jawa Timur,Koalisi Pemerintah
333,Jawa Timur IX,Eko Wahyudi,Komisi IV,Golkar,-,Jawa Timur,Koalisi Pemerintah
55,Jawa Timur X,"Dr. H. Jazilul Fawaid S.Q., M.A.",Komisi III,PKB,Wakil Ketua Badan Anggaran DPR RI,Jawa Timur,Oposisi
130,Jawa Timur X,H. Khilmi,Komisi VI,Gerindra,-,Jawa Timur,Koalisi Pemerintah
228,Jawa Timur X,H. Nasyirul Falah Amru S.E.,Komisi III,PDI-P,-,Jawa Timur,Oposisi
229,Jawa Timur X,Nila Yani Hardiyanti S.I.Kom.,Komisi VII,PDI-P,-,Jawa Timur,Oposisi
334,Jawa Timur X,Ahmad Labib,Komisi VI,Golkar,-,Jawa Timur,Koalisi Pemerintah
403,Jawa Timur X,"Jiddan S.E., S.H.",Komisi XI,NasDem,-,Jawa Timur,Oposisi
56,Jawa Timur XI,"H. Syafiuddin S.Sos., M.H.",Komisi V,PKB,-,Jawa Timur,Oposisi
131,Jawa Timur XI,"R. H. Imron Amin S.H., M.H.",Komisi XI,Gerindra,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI,Jawa Timur,Koalisi Pemerintah
230,Jawa Timur XI,M. H. Said Abdullah,Komisi XI,PDI-P,Ketua Badan Anggaran DPR RI,Jawa Timur,Oposisi
231,Jawa Timur XI,Ansari S.Pd.I.,Komisi VIII,PDI-P,-,Jawa Timur,Oposisi
335,Jawa Timur XI,"Dr. Eric Hermawan M.T., M.M.",Komisi VII,Golkar,-,Jawa Timur,Koalisi Pemerintah
404,Jawa Timur XI,"Willy Aditya S.Fil., M.Ds., M.Sc.",Komisi XIII,NasDem,Ketua Komisi XIII DPR RI,Jawa Timur,Oposisi
518,Jawa Timur XI,"H. Slamet Ariyadi S.Psi., M.Sos.",Komisi I,PAN,-,Jawa Timur,Koalisi Pemerintah
564,Jawa Timur XI,"H. Hasani Bin Zuber S.IP., M.KP.",Komisi VIII,Demokrat,-,Jawa Timur,Koalisi Pemerintah
57,Banten I,Ahmad Fauzi,Komisi V,PKB,-,Banten,Oposisi
132,Banten I,"Ali Zamroni S.Sos., M.A.P.",Komisi X,Gerindra,-,Banten,Koalisi Pemerintah
232,Banten I,Bonnie Triyana S.S.,Komisi X,PDI-P,-,Banten,Oposisi
336,Banten I,"Dr. Hj. Adde Rosi Khoerunnisa S.Sos., M.Si.",Komisi X,Golkar,-,Banten,Koalisi Pemerintah
405,Banten I,Arif Rahman,Komisi IV,NasDem,-,Banten,Oposisi
565,Banten I,Rizki Aulia Rahman Natakusumah,Komisi I,Demokrat,Ketua Badan Urusan Rumah Tangga DPR RI,Banten,Koalisi Pemerintah
133,Banten II,Annisa M. A. Mahesa,Komisi XI,Gerindra,"Wakil Ketua DPR sementara pada sidang paripurna pertama, selaku anggota dewan termuda.",Banten,Koalisi Pemerintah
233,Banten II,Sarifah Ainun Jariyah S.I.P.,Komisi I,PDI-P,-,Banten,Oposisi
337,Banten II,Tubagus Haerul Jaman S.E.,Komisi V,Golkar,-,Banten,Koalisi Pemerintah
406,Banten II,"Prof. Dr. H. Furtasan Ali Yusuf S.E., S.Kom., M.M.",Komisi X,NasDem,-,Banten,Oposisi
477,Banten II,Dr. H. Jazuli Juwaini M.A.,Komisi I,PKS,-,Banten,Oposisi
519,Banten II,H. Edison Sitorus S.T.,Komisi XIII,PAN,-,Banten,Koalisi Pemerintah
58,Banten III,"Moh. Rano Alfath S.H., M.H.",Komisi III,PKB,Wakil Ketua Komisi III DPR RI,Banten,Oposisi
134,Banten III,Prof. H. Sufmi Dasco Ahmad,Komisi III,Gerindra,Wakil Ketua DPR-RI,Banten,Koalisi Pemerintah
234,Banten III,"Yulius Setiarto S.H., M.H.",Komisi I,PDIP,-,Banten,Oposisi
235,Banten III,"Marinus Gea S.E., M.Ak.",Komisi XIII,PDIP,-,Banten,Oposisi
338,Banten III,Drs. H. Mujakkir Zuhri,Komisi VII,Golkar,-,Banten,Koalisi Pemerintah
339,Banten III,"Andi Achmad Dara S.E., M.AP.",Komisi XI,Golkar,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Banten,Koalisi Pemerintah
407,Banten III,Dr. H. Wahidin Halim M.Si.,Komisi VIII,NasDem,-,Banten,Oposisi
478,Banten III,"Habib Idrus Salim Aljufri Lc., M.B.A.",Komisi I,PKS,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Banten,Oposisi
520,Banten III,"Okta Kumala Dewi S.E., M.Ak.",Komisi I,PAN,-,Banten,Koalisi Pemerintah
566,Banten III,Zulfikar Hamonangan,Komisi XII,Demokrat,-,Banten,Koalisi Pemerintah
135,Bali,I Dewa Gde Agung Widiarsana,Komisi XIII,Gerindra,-,Bali,Koalisi Pemerintah
236,Bali,I Nyoman Parta S.H.,Komisi X,PDIP,-,Bali,Oposisi
237,Bali,"I Gusti Ngurah Kesuma Kelakan S.T., M.Si.",Komisi VI,PDIP,-,Bali,Oposisi
238,Bali,"I Wayan Sudirta S.H., M.H.",Komisi III,PDIP,-,Bali,Oposisi
239,Bali,"I Nyoman Adi Wiryatama S.Sos., M.Si.",Komisi IV,PDIP,-,Bali,Oposisi
240,Bali,⁠I Ketut Kariyasa Adnyana S.P.,Komisi VIII,PDIP,-,Bali,Oposisi
340,Bali,"Gde Sumarjaya Linggih S.E., M.AP.",Komisi VI,Golkar,-,Bali,Koalisi Pemerintah
408,Bali,Ir. I Nengah Senantara,Komisi VI,NasDem,-,Bali,Oposisi
567,Bali,"Ni Putu Tutik Kusuma Wardhani S.M., M.M., M.Kes.",Komisi VI,Demokrat,-,Bali,Koalisi Pemerintah
59,Nusa Tenggara Barat I,"Mahdalena S.S., M.M.",Komisi VIII,PKB,-,Nusa Tenggara Barat,Oposisi
409,Nusa Tenggara Barat I,H. Mori Hanafi S.E.,Komisi V,NasDem,-,Nusa Tenggara Barat,Oposisi
479,Nusa Tenggara Barat I,H. Johan Rosihan S.T.,Komisi IV,PKS,-,Nusa Tenggara Barat,Oposisi
60,Nusa Tenggara Barat II,H. Lalu Hadrian Irfani S.T.,Komisi X,PKB,Wakil Ketua Komisi X DPR RI,Nusa Tenggara Barat,Oposisi
136,Nusa Tenggara Barat II,Apt. Hj. Lale Syifaun Nufus M.Farm.,Komisi VIII,Gerindra,-,Nusa Tenggara Barat,Koalisi Pemerintah
241,Nusa Tenggara Barat II,Rachmat Hidayat S.H.,Komisi I,PDI-P,-,Nusa Tenggara Barat,Oposisi
341,Nusa Tenggara Barat II,Ir. Hj. Sari Yuliati M.T.,Komisi III,Golkar,Wakil Ketua Komisi III DPR RI,Nusa Tenggara Barat,Koalisi Pemerintah
410,Nusa Tenggara Barat II,"Fauzan Khalid S.Ag., M.Si.",Komisi II,NasDem,-,Nusa Tenggara Barat,Oposisi
480,Nusa Tenggara Barat II,"H. Abdul Hadi S.E., M.M.",Komisi V,PKS,-,Nusa Tenggara Barat,Oposisi
521,Nusa Tenggara Barat II,H. M. Muazzim Akbar S.I.P.,Komisi IX,PAN,-,Nusa Tenggara Barat,Koalisi Pemerintah
568,Nusa Tenggara Barat II,Dr. Ir. H. Nanang Samodra K. A. M.Sc.,Komisi VIII,Demokrat,-,Nusa Tenggara Barat,Koalisi Pemerintah
61,Nusa Tenggara Timur I,"N. M. Dipo Nusantara P. U. S.H., M.Kn.",Komisi XII,PKB,-,Nusa Tenggara Timur,Oposisi
242,Nusa Tenggara Timur I,Dr. Andreas Hugo Pareira,Komisi XIII,PDI-P,Wakil Ketua Komisi XIII DPR RI,Nusa Tenggara Timur,Oposisi
342,Nusa Tenggara Timur I,Melchias Marcus Mekeng M.H.,Komisi XI,Golkar,-,Nusa Tenggara Timur,Koalisi Pemerintah
411,Nusa Tenggara Timur I,Julie Sutrisno Laiskodat,Komisi XI,NasDem,-,Nusa Tenggara Timur,Oposisi
522,Nusa Tenggara Timur I,Ahmad Yohan M.Si.,Komisi IV,PAN,Wakil Ketua Komisi IV DPR RI,Nusa Tenggara Timur,Koalisi Pemerintah
569,Nusa Tenggara Timur I,Dr. Benny Kabur Harman S.H.,Komisi III,Demokrat,-,Nusa Tenggara Timur,Koalisi Pemerintah
62,Nusa Tenggara Timur II,Usman Husin,Komisi IV,PKB,-,Nusa Tenggara Timur,Oposisi
137,Nusa Tenggara Timur II,Ir. Esthon L. Foenay M.Si.,Komisi II,Gerindra,-,Nusa Tenggara Timur,Koalisi Pemerintah
243,Nusa Tenggara Timur II,Stevano Rizki Adranacus,Komisi III,PDI-P,-,Nusa Tenggara Timur,Oposisi
343,Nusa Tenggara Timur II,"Dr. Umbu Kabunang Rudi Yanto Hunga S.H., M.H.",Komisi XIII,Golkar,-,Nusa Tenggara Timur,Koalisi Pemerintah
344,Nusa Tenggara Timur II,Gavriel Putranto Novanto,Komisi I,Golkar,-,Nusa Tenggara Timur,Koalisi Pemerintah
412,Nusa Tenggara Timur II,"Dr. Viktor Bungtilu Laiskodat S.H., M.Si.",Komisi I,NasDem,-,Nusa Tenggara Timur,Oposisi
570,Nusa Tenggara Timur II,Anita Jacoba Gah,Komisi X,Demokrat,-,Nusa Tenggara Timur,Koalisi Pemerintah
63,Kalimantan Barat I,Daniel Johan,Komisi IV,PKB,-,Kalimantan Barat,Oposisi
138,Kalimantan Barat I,Yuliansyah S.E.,Komisi V,Gerindra,-,Kalimantan Barat,Koalisi Pemerintah
244,Kalimantan Barat I,Drs. Cornelis M.H.,Komisi XII,PDI-P,-,Kalimantan Barat,Oposisi
245,Kalimantan Barat I,"Maria Lestari S.Pd., M.H.",Komisi VII,PDI-P,-,Kalimantan Barat,Oposisi
345,Kalimantan Barat I,Franciscus Maria Agustinus Sibarani,Komisi XIII,Golkar,[Ket. 62][3],Kalimantan Barat,Koalisi Pemerintah
413,Kalimantan Barat I,H. Syarief Abdullah Alkadrie S.H.,Komisi V,NasDem,Wakil Ketua Badan Anggaran DPR RI,Kalimantan Barat,Oposisi
481,Kalimantan Barat I,"H. Alifudin S.E., M.M.",Komisi IX,PKS,-,Kalimantan Barat,Oposisi
523,Kalimantan Barat I,Boyman Harun S.H.,Komisi V,PAN,-,Kalimantan Barat,Koalisi Pemerintah
246,Kalimantan Barat II,"Lasarus S.Sos., M.Si.",Komisi V,PDI-P,Ketua Komisi V DPR RI,Kalimantan Barat,Oposisi
247,Kalimantan Barat II,"Paolus Hadi S.IP., M.Si.",Komisi IV,PDI-P,-,Kalimantan Barat,Oposisi
346,Kalimantan Barat II,Dr. Drs. Adrianus Asia Sidot M.Si.,Komisi IV,Golkar,-,Kalimantan Barat,Koalisi Pemerintah
414,Kalimantan Barat II,Gulam Mohamad Sharon,Komisi XII,NasDem,-,Kalimantan Barat,Oposisi
139,Kalimantan Tengah,H. Iwan Kurniawan,Komisi II,Gerindra,-,Kalimantan Tengah,Koalisi Pemerintah
248,Kalimantan Tengah,"Sigit Karyawan Yunianto S.H., M.A.P.",Komisi XII,PDI-P,-,Kalimantan Tengah,Oposisi
347,Kalimantan Tengah,Drs. Mukhtarudin,Komisi XII,Golkar,-,Kalimantan Tengah,Koalisi Pemerintah
415,Kalimantan Tengah,Andina Thresia Narang B.Comm.,Komisi I,NasDem,-,Kalimantan Tengah,Oposisi
524,Kalimantan Tengah,Muhammad Syauqie S.Hut.,Komisi V,PAN,-,Kalimantan Tengah,Koalisi Pemerintah
571,Kalimantan Tengah,"Bambang Purwanto S.ST, M.H.",Komisi IV,Demokrat,-,Kalimantan Tengah,Koalisi Pemerintah
140,Kalimantan Selatan I,Muhammad Rofiqi S.H.,Komisi III,Gerindra,-,Kalimantan Selatan,Koalisi Pemerintah
348,Kalimantan Selatan I,"Drs. H. Bambang Heri Purnama S.T., S.H., M.H.",Komisi I,Golkar,-,Kalimantan Selatan,Koalisi Pemerintah
349,Kalimantan Selatan I,"Sandi Fitrian Noor S.T., M.M.",Komisi VIII,Golkar,-,Kalimantan Selatan,Koalisi Pemerintah
416,Kalimantan Selatan I,"Dr. H. M. Rifqinizamy Karsayuda S.H., M.H.",Komisi II,NasDem,Ketua Komisi II DPR RI,Kalimantan Selatan,Oposisi
482,Kalimantan Selatan I,Habib Aboe Bakar Al Habsyi S.E.,Komisi III,PKS,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI,Kalimantan Selatan,Oposisi
525,Kalimantan Selatan I,Ir. Pangeran Khairul Saleh M.M.,Komisi XIII,PAN,-,Kalimantan Selatan,Koalisi Pemerintah
141,Kalimantan Selatan II,"Hj. Mariana S.A.B., M.M.",Komisi IX,Gerindra,-,Kalimantan Selatan,Koalisi Pemerintah
350,Kalimantan Selatan II,Irjen Pol (Purn.) Drs. Rikwanto M.Hum.,Komisi III,Golkar,-,Kalimantan Selatan,Koalisi Pemerintah
417,Kalimantan Selatan II,H. Machfud Arifin,Komisi XIII,NasDem,-,Kalimantan Selatan,Oposisi
526,Kalimantan Selatan II,"Endang Agustina S.Sos., M.H.",Komisi III,PAN,-,Kalimantan Selatan,Koalisi Pemerintah
527,Kalimantan Selatan II,Sudian Noor,Komisi VIII,PAN,-,Kalimantan Selatan,Koalisi Pemerintah
64,Kalimantan Timur,Syafruddin S.Pd.,Komisi XII,PKB,-,Kalimantan Timur,Oposisi
142,Kalimantan Timur,G. Budisatrio Djiwandono,Komisi I,Gerindra,Wakil Ketua Komisi I DPR RI,Kalimantan Timur,Koalisi Pemerintah
249,Kalimantan Timur,Drs. Safaruddin M.I.Kom.,Komisi III,PDI-P,-,Kalimantan Timur,Oposisi
351,Kalimantan Timur,Hj. Sarifah Suraidah,Komisi VI,Golkar,-,Kalimantan Timur,Koalisi Pemerintah
352,Kalimantan Timur,Dr. Ir. Hetifah Sjaifudian M.P.P.,Komisi X,Golkar,Ketua Komisi X DPR RI,Kalimantan Timur,Koalisi Pemerintah
418,Kalimantan Timur,Nabil Husien Said Amin Alrasydi,Komisi III,NasDem,-,Kalimantan Timur,Oposisi
483,Kalimantan Timur,K. H. Aus Hidayat Nur,Komisi II,PKS,-,Kalimantan Timur,Oposisi
528,Kalimantan Timur,"Edi Oloan Pasaribu S.T., M.M.",Komisi II,PAN,-,Kalimantan Timur,Koalisi Pemerintah
143,Kalimantan Utara,Hj. Rahmawati S.H.,Komisi VII,Gerindra,-,Kalimantan Utara,Koalisi Pemerintah
250,Kalimantan Utara,Ir. Deddy Yevri Hanteru Sitorus M.A.,Komisi II,PDI-P,-,Kalimantan Utara,Oposisi
572,Kalimantan Utara,Drs. Hasan Saleh,Komisi IV,Demokrat,-,Kalimantan Utara,Koalisi Pemerintah
144,Sulawesi Utara,Martin Daniel Tumbeleka,Komisi III,Gerindra,-,Sulawesi Utara,Koalisi Pemerintah
251,Sulawesi Utara,Rio Alexander Jeremia Dondokambey B.Sc.,Komisi XI,PDI-P,-,Sulawesi Utara,Oposisi
252,Sulawesi Utara,Dra. Yasti Soepredjo Mokoagow,Komisi V,PDI-P,-,Sulawesi Utara,Oposisi
353,Sulawesi Utara,Christiany Eugenia Paruntu,Komisi XII,Golkar,-,Sulawesi Utara,Koalisi Pemerintah
419,Sulawesi Utara,Felly Estelita Runtuwene S.E.,Komisi IX,NasDem,Ketua Komisi IX DPR RI,Sulawesi Utara,Oposisi
573,Sulawesi Utara,"Dr. Hillary Brigitta Lasut S.H., LL.M.",Komisi XI,Demokrat,-,Sulawesi Utara,Koalisi Pemerintah
145,Sulawesi Tengah,Drs. H. Longki Djanggola M.Si.,Komisi II,Gerindra,-,Sulawesi Tengah,Koalisi Pemerintah
253,Sulawesi Tengah,Matindas Janusanti Rumambi S.Sos.,Komisi VIII,PDI-P,-,Sulawesi Tengah,Oposisi
354,Sulawesi Tengah,H. Muhidin Mohamad Said,Komisi XI,Golkar,Wakil Ketua Badan Anggaran DPR RI,Sulawesi Tengah,Koalisi Pemerintah
355,Sulawesi Tengah,Ir. Beniyanto S.T.,Komisi VII,Golkar,-,Sulawesi Tengah,Koalisi Pemerintah
420,Sulawesi Tengah,"Dr. Hj. Nilam Sari Lawira S.P., M.P.",Komisi X,NasDem,-,Sulawesi Tengah,Oposisi
529,Sulawesi Tengah,"Dr. Sarifuddin Sudding S.H., M.H.",Komisi III,PAN,-,Sulawesi Tengah,Koalisi Pemerintah
574,Sulawesi Tengah,Ellen Esther Pelealu S.E.,Komisi IV,Demokrat,-,Sulawesi Tengah,Koalisi Pemerintah
65,Sulawesi Selatan I,"Dr. H. Syamsu Rizal M. I. S.Sos., M.Si.",Komisi I,PKB,-,Sulawesi Selatan,Oposisi
146,Sulawesi Selatan I,Dr. H. Azikin Solthan M.Si.,Komisi VII,Gerindra,-,Sulawesi Selatan,Koalisi Pemerintah
254,Sulawesi Selatan I,Ridwan Andi Wittiri S.H.,Komisi XII,PDI-P,-,Sulawesi Selatan,Oposisi
356,Sulawesi Selatan I,Drs. Hamka B. Kady M.S.,Komisi V,Golkar,-,Sulawesi Selatan,Koalisi Pemerintah
421,Sulawesi Selatan I,"H. Achmad Dg. Sere S.Sos., M.A.P.",Komisi VII,NasDem,-,Sulawesi Selatan,Oposisi
422,Sulawesi Selatan I,Rudianto Lallo S.H.,Komisi III,NasDem,-,Sulawesi Selatan,Oposisi
484,Sulawesi Selatan I,"Hj. Meity Rahmatia S.E., S.Pd., M.M.",Komisi XIII,PKS,-,Sulawesi Selatan,Oposisi
530,Sulawesi Selatan I,Drs. H. Ashabul Kahfi M.Ag.,Komisi IX,PAN,-,Sulawesi Selatan,Koalisi Pemerintah
66,Sulawesi Selatan II,Drs. H. Andi Muawiyah Ramly M.Si.,Komisi X,PKB,-,Sulawesi Selatan,Oposisi
147,Sulawesi Selatan II,Andi Amar Ma'ruf Sulaiman S.E.,Komisi III,Gerindra,-,Sulawesi Selatan,Koalisi Pemerintah
148,Sulawesi Selatan II,"H. Andi Iwan Darmawan Aras S.E., M.Si.",Komisi V,Gerindra,Wakil Ketua Komisi V DPR RI,Sulawesi Selatan,Koalisi Pemerintah
357,Sulawesi Selatan II,A. M. Nurdin Halid,Komisi VI,Golkar,Wakil Ketua Komisi VI DPR RI,Sulawesi Selatan,Koalisi Pemerintah
358,Sulawesi Selatan II,"Dr. H. M. Taufan Pawe S.H., M.H.",Komisi II,Golkar,-,Sulawesi Selatan,Koalisi Pemerintah
423,Sulawesi Selatan II,Teguh Iswara Suardi,Komisi V,NasDem,-,Sulawesi Selatan,Oposisi
485,Sulawesi Selatan II,Ismail,Komisi VI,PKS,-,Sulawesi Selatan,Oposisi
531,Sulawesi Selatan II,Dr. Hj. Andi Yuliani Paris,Komisi XI,PAN,-,Sulawesi Selatan,Koalisi Pemerintah
575,Sulawesi Selatan II,Andi Muzakkir Aqil,Komisi III,Demokrat,-,Sulawesi Selatan,Koalisi Pemerintah
149,Sulawesi Selatan III,Unru Baso,Komisi VI,Gerindra,-,Sulawesi Selatan,Koalisi Pemerintah
150,Sulawesi Selatan III,Ir. H. La Tinro La Tunrung,Komisi X,Gerindra,-,Sulawesi Selatan,Koalisi Pemerintah
359,Sulawesi Selatan III,Agustina Mangande,Komisi II,Golkar,-,Sulawesi Selatan,Koalisi Pemerintah
424,Sulawesi Selatan III,H. Rusdi Masse Mappasessu,Komisi III,NasDem,-,Sulawesi Selatan,Oposisi
425,Sulawesi Selatan III,Eva Stevany Rataba S.H.,Komisi X,NasDem,-,Sulawesi Selatan,Oposisi
532,Sulawesi Selatan III,Drs. H. Muslimin Bando M.Pd.,Komisi X,PAN,-,Sulawesi Selatan,Koalisi Pemerintah
576,Sulawesi Selatan III,Irjen. Pol. (Purn.) Drs. Frederik Kalalembang,Komisi I,Demokrat,-,Sulawesi Selatan,Koalisi Pemerintah
67,Sulawesi Tenggara,"Jaelani S.IP., M.Si.",Komisi IV,PKB,-,Sulawesi Tenggara,Oposisi
151,Sulawesi Tenggara,Bahtra S.PWK.,Komisi II,Gerindra,Wakil Ketua Komisi II DPR RI,Sulawesi Tenggara,Koalisi Pemerintah
255,Sulawesi Tenggara,"H. Ahmad Safei S.H., M.H.",Komisi IX,PDI-P,-,Sulawesi Tenggara,Oposisi
360,Sulawesi Tenggara,Ir. Ridwan Bae,Komisi V,Golkar,Wakil Ketua Komisi V DPR RI,Sulawesi Tenggara,Koalisi Pemerintah
426,Sulawesi Tenggara,H. Ali Mazi S.H.,Komisi XIII,NasDem,-,Sulawesi Tenggara,Oposisi
577,Sulawesi Tenggara,Rusda Mahmud,Komisi II,Demokrat,-,Sulawesi Tenggara,Koalisi Pemerintah
152,Gorontalo,"Elnino M. Husein Mohi S.T., M.Si.",Komisi I,Gerindra,-,Gorontalo,Koalisi Pemerintah
361,Gorontalo,Drs. H. Rusli Habibie M.A.P.,Komisi XII,Golkar,-,Gorontalo,Koalisi Pemerintah
427,Gorontalo,Dr. (H.C.) H. Rachmad Gobel,Komisi VI,NasDem,-,Gorontalo,Oposisi
256,Sulawesi Barat,Dr. Ir. H. Agus Ambo Djiwa M.P.,Komisi IV,PDI-P,-,Sulawesi Barat,Oposisi
428,Sulawesi Barat,Ratih Megasari Singkarru M.Sc.,Komisi X,NasDem,-,Sulawesi Barat,Oposisi
533,Sulawesi Barat,Ajbar S.P.,Komisi IV,PAN,-,Sulawesi Barat,Koalisi Pemerintah
578,Sulawesi Barat,Muhammad Zulfikar Suhardi S.IP.,Komisi VII,Demokrat,-,Sulawesi Barat,Koalisi Pemerintah
153,Maluku,F. Alimudin Kolatlena,Komisi VIII,Gerindra,-,Maluku,Koalisi Pemerintah
257,Maluku,Mercy Chriesty Barends S.T.,Komisi X,PDI-P,-,Maluku,Oposisi
486,Maluku,Saadiah Uluputty S.T.,Komisi IV,PKS,-,Maluku,Oposisi
534,Maluku,Widya Pratiwi,Komisi III,PAN,-,Maluku,Koalisi Pemerintah
258,Maluku Utara,"Irine Yusiana Roba Putri S.Sos., M.Comn&MediaSt.",Komisi V,PDI-P,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI,Maluku Utara,Oposisi
362,Maluku Utara,Alien Mus S.Sos.,Komisi IV,Golkar,-,Maluku Utara,Koalisi Pemerintah
487,Maluku Utara,Izzuddin Alqassam Kasuba,Komisi VII,PKS,-,Maluku Utara,Oposisi
154,Papua,"Yan Permenas Mandenas S.Sos., M.Si.",Komisi XIII,Gerindra,-,Papua,Koalisi Pemerintah
259,Papua,Ruth Naomi Rumkabu,Komisi I,PDI-P,-,Papua,Oposisi
429,Papua,Tonny Tesar S.Sos.,Komisi VII,NasDem,-,Papua,Oposisi
260,Papua Barat,Obet Rumbruren,Komisi IX,PDI-P,-,Papua Barat,Oposisi
363,Papua Barat,drg. Alfons Manibui,Komisi XII,Golkar,-,Papua Barat,Koalisi Pemerintah
430,Papua Barat,Cheroline Chrisye Makalew,Komisi XII,NasDem,-,Papua Barat,Oposisi
68,Papua Selatan,Indrajaya S.E.,Komisi II,PKB,-,Papua Selatan,Oposisi
261,Papua Selatan,Edoardus Kaize,Komisi IV,PDI-P,-,Papua Selatan,Oposisi
431,Papua Selatan,Dr. (H.C.) H. Sulaeman L. Hamzah,Komisi IV,NasDem,-,Papua Selatan,Oposisi
262,Papua Tengah,"Kamarudin Watubun S.H., M.H.",Komisi II,PDI-P,-,Papua Tengah,Oposisi
364,Papua Tengah,"Dr. Soedeson Tandra S.H., M.Hum.",Komisi III,Golkar,-,Papua Tengah,Koalisi Pemerintah
432,Papua Tengah,"Arjuna Sakir S.E., M.M.",Komisi VII,NasDem,-,Papua Tengah,Oposisi
263,Papua Pegunungan,Arif Riyanto Uopdana S.T.,Komisi XII,PDI-P,-,Papua Pegunungan,Oposisi
433,Papua Pegunungan,Roberth Rouw,Komisi V,NasDem,Wakil Ketua Komisi V DPR RI,Papua Pegunungan,Oposisi
535,Papua Pegunungan,Paulus Ubruangge,Komisi IX,PAN,-,Papua Pegunungan,Koalisi Pemerintah
365,Papua Barat Daya,Robert Joppy Kardinal S.A.B.,Komisi IV,Golkar,-,Papua Barat Daya,Koalisi Pemerintah
434,Papua Barat Daya,Rico Sia M.Si.,Komisi VII,NasDem,-,Papua Barat Daya,Oposisi
579,Papua Barat Daya,Faujia Helga Br. Tampubolon,Komisi VI,Demokrat,-,Papua Barat Daya,Koalisi Pemerintah
